aoi_id,epoch,route_id,verdict,comment
EVT001_0006,T2,1,PASS,""
EVT001_0006,T2,2,PASS,""
EVT001_0006,T2,3,PASS,""
EVT001_0006,T3,1,PASS,""
EVT001_0006,T3,2,PASS,""
EVT001_0006,T3,3,PASS,""
EVT001_0006,T4,1,PASS,""
EVT001_0006,T4,2,PASS,""
EVT001_0006,T4,3,PASS,""
EVT001_0025,T2,1,PASS,""
EVT001_0025,T2,2,PASS,""
EVT001_0025,T2,3,PASS,""
EVT001_0025,T3,1,PASS,""
EVT001_0025,T3,2,PASS,""
EVT001_0025,T3,3,PASS,""
EVT001_0025,T4,1,PASS,""
EVT001_0025,T4,2,PASS,""
EVT001_0025,T4,3,PASS,""
EVT001_0027,T2,1,PASS,""
EVT001_0027,T2,2,PASS,""
EVT001_0027,T2,3,PASS,""
EVT001_0027,T3,1,PASS,""
EVT001_0027,T3,2,PASS,""
EVT001_0027,T3,3,PASS,""
EVT001_0027,T4,1,PASS,""
EVT001_0027,T4,2,PASS,""
EVT001_0027,T4,3,PASS,""
EVT001_0030,T2,1,PASS,""
EVT001_0030,T2,2,PASS,""
EVT001_0030,T2,3,PASS,""
EVT001_0030,T3,1,PASS,""
EVT001_0030,T3,2,PASS,""
EVT001_0030,T3,3,PASS,""
EVT001_0030,T4,1,PASS,""
EVT001_0030,T4,2,PASS,""
EVT001_0030,T4,3,PASS,""
EVT001_0032,T2,1,PASS,""
EVT001_0032,T2,2,PASS,""
EVT001_0032,T2,3,PASS,""
EVT001_0032,T3,1,PASS,""
EVT001_0032,T3,2,PASS,""
EVT001_0032,T3,3,PASS,""
EVT001_0032,T4,1,PASS,""
EVT001_0032,T4,2,PASS,""
EVT001_0032,T4,3,PASS,""
EVT001_0044,T2,1,PASS,""
EVT001_0044,T2,2,PASS,""
EVT001_0044,T2,3,PASS,""
EVT001_0044,T3,1,PASS,""
EVT001_0044,T3,2,PASS,""
EVT001_0044,T3,3,PASS,""
EVT001_0044,T4,1,PASS,""
EVT001_0044,T4,2,PASS,""
EVT001_0044,T4,3,PASS,""
EVT001_0046,T2,1,,""
EVT001_0046,T3,1,,""
EVT001_0046,T4,1,,""
EVT002_0071,T2,1,,""
EVT002_0071,T2,2,,""
EVT002_0071,T2,3,,""
EVT002_0071,T3,1,,""
EVT002_0071,T3,2,,""
EVT002_0071,T3,3,,""
EVT002_0073,T2,1,,""
EVT002_0073,T2,2,,""
EVT002_0073,T2,3,,""
EVT002_0073,T3,1,,""
EVT002_0073,T3,2,,""
EVT002_0073,T3,3,,""
EVT002_0080,T2,1,PASS,""
EVT002_0080,T2,2,PASS,""
EVT002_0080,T2,3,PASS,""
EVT002_0080,T3,1,PASS,""
EVT002_0080,T3,2,PASS,""
EVT002_0080,T3,3,PASS,""
EVT002_0080,T4,1,PASS,""
EVT002_0080,T4,2,PASS,""
EVT002_0080,T4,3,PASS,""
EVT002_0081,T2,1,PASS,""
EVT002_0081,T2,2,PASS,""
EVT002_0081,T2,3,PASS,""
EVT002_0081,T3,1,PASS,""
EVT002_0081,T3,2,PASS,""
EVT002_0081,T3,3,PASS,""
EVT002_0081,T4,1,PASS,""
EVT002_0081,T4,2,PASS,""
EVT002_0081,T4,3,PASS,""
EVT002_0089,T2,1,PASS,""
EVT002_0089,T2,2,PASS,""
EVT002_0089,T2,3,PASS,""
EVT002_0089,T3,1,PASS,""
EVT002_0089,T3,2,PASS,""
EVT002_0089,T3,3,PASS,""
EVT002_0089,T4,1,PASS,""
EVT002_0089,T4,2,PASS,""
EVT002_0089,T4,3,PASS,""
